,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2020-07-01,230.0,292.0,296.0,309.0,322.0,351.0,369.0,380.0,398.0,402.0,404.0,405.0,417.0,416.0,419.0,423.0,424.0,424.0,424.0,424.0,426.0,428.0,429.0,428.0,428.0,426.0,429.0,426.0,425.0,425.0,425.0
2020-07-02,207.0,265.0,270.0,278.0,303.0,332.0,347.0,354.0,364.0,366.0,367.0,379.0,380.0,383.0,385.0,386.0,387.0,387.0,386.0,388.0,391.0,392.0,390.0,391.0,392.0,392.0,392.0,392.0,390.0,390.0,390.0
2020-07-03,185.0,243.0,253.0,267.0,295.0,314.0,337.0,351.0,361.0,368.0,375.0,388.0,392.0,393.0,392.0,392.0,392.0,395.0,394.0,395.0,396.0,396.0,397.0,397.0,397.0,395.0,395.0,397.0,397.0,397.0,397.0
2020-07-04,102.0,161.0,192.0,203.0,198.0,227.0,239.0,245.0,252.0,260.0,272.0,276.0,276.0,275.0,277.0,278.0,279.0,281.0,280.0,280.0,280.0,280.0,280.0,280.0,279.0,279.0,281.0,281.0,281.0,281.0,282.0
2020-07-05,56.0,105.0,103.0,121.0,139.0,160.0,169.0,177.0,186.0,200.0,210.0,218.0,222.0,224.0,225.0,227.0,227.0,226.0,226.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,227.0,227.0
2020-07-06,117.0,189.0,211.0,228.0,254.0,272.0,277.0,290.0,301.0,311.0,321.0,326.0,329.0,329.0,330.0,331.0,330.0,337.0,340.0,340.0,340.0,340.0,339.0,340.0,342.0,343.0,343.0,343.0,344.0,345.0,344.0
2020-07-07,161.0,233.0,239.0,264.0,279.0,285.0,301.0,314.0,334.0,343.0,354.0,357.0,358.0,362.0,365.0,366.0,366.0,370.0,371.0,370.0,371.0,369.0,369.0,370.0,370.0,370.0,370.0,371.0,371.0,369.0,370.0
2020-07-08,225.0,282.0,285.0,307.0,317.0,321.0,333.0,341.0,356.0,367.0,370.0,373.0,379.0,381.0,383.0,387.0,385.0,386.0,386.0,386.0,386.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,390.0,390.0,390.0
2020-07-09,193.0,250.0,252.0,258.0,283.0,303.0,320.0,352.0,368.0,368.0,374.0,380.0,382.0,385.0,386.0,388.0,387.0,385.0,386.0,386.0,389.0,385.0,385.0,385.0,385.0,382.0,383.0,383.0,381.0,383.0,384.0
2020-07-10,171.0,244.0,257.0,296.0,316.0,346.0,370.0,400.0,411.0,416.0,426.0,426.0,433.0,436.0,440.0,446.0,446.0,447.0,450.0,454.0,457.0,457.0,457.0,457.0,459.0,459.0,459.0,459.0,460.0,460.0,460.0
