,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2020-08-24,0.0,0.0,523.0,939.0,1139.0,1210.0,1227.0,1222.0,1224.0,1225.0,1224.0,1224.0,1226.0,1228.0,1224.0,1221.0,1220.0,1219.0,1221.0,1221.0,1222.0,1223.0,1221.0,1219.0,1220.0,1220.0,1220.0,1221.0,1219.0,1223.0,1222.0
2020-08-25,0.0,0.0,761.0,981.0,1055.0,1196.0,1218.0,1228.0,1244.0,1248.0,1246.0,1247.0,1248.0,1243.0,1243.0,1244.0,1243.0,1243.0,1242.0,1242.0,1242.0,1242.0,1242.0,1243.0,1241.0,1241.0,1241.0,1241.0,1250.0,1248.0,1248.0
2020-08-26,0.0,0.0,811.0,999.0,1083.0,1220.0,1299.0,1334.0,1348.0,1348.0,1347.0,1347.0,1345.0,1345.0,1347.0,1346.0,1345.0,1345.0,1344.0,1344.0,1344.0,1347.0,1347.0,1347.0,1346.0,1346.0,1345.0,1353.0,1354.0,1354.0,1355.0
2020-08-27,0.0,0.0,715.0,1116.0,1202.0,1389.0,1509.0,1554.0,1555.0,1560.0,1564.0,1558.0,1561.0,1560.0,1560.0,1555.0,1555.0,1556.0,1555.0,1554.0,1552.0,1554.0,1554.0,1555.0,1553.0,1553.0,1565.0,1563.0,1564.0,1562.0,1565.0
2020-08-28,0.0,0.0,0.0,0.0,0.0,1512.0,1585.0,1588.0,1609.0,1615.0,1613.0,1618.0,1620.0,1624.0,1625.0,1625.0,1625.0,1625.0,1626.0,1625.0,1624.0,1625.0,1626.0,1626.0,1626.0,1629.0,1626.0,1626.0,1625.0,1626.0,1625.0
2020-08-29,0.0,0.0,0.0,0.0,1141.0,1176.0,1203.0,1217.0,1229.0,1222.0,1219.0,1220.0,1219.0,1218.0,1219.0,1218.0,1220.0,1217.0,1218.0,1218.0,1217.0,1217.0,1216.0,1217.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0,1219.0
2020-08-30,0.0,0.0,0.0,1081.0,1122.0,1137.0,1141.0,1142.0,1141.0,1141.0,1148.0,1154.0,1153.0,1154.0,1154.0,1151.0,1151.0,1151.0,1151.0,1150.0,1150.0,1150.0,1151.0,1149.0,1149.0,1149.0,1150.0,1151.0,1151.0,1151.0,1151.0
2020-08-31,0.0,0.0,916.0,1244.0,1318.0,1340.0,1358.0,1365.0,1474.0,1499.0,1499.0,1498.0,1498.0,1496.0,1495.0,1496.0,1495.0,1494.0,1494.0,1494.0,1494.0,1494.0,1494.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0
2020-09-01,0.0,0.0,1167.0,1720.0,1896.0,2135.0,2179.0,2210.0,2220.0,2237.0,2241.0,2240.0,2240.0,2237.0,2237.0,2237.0,2237.0,2237.0,2237.0,2237.0,2237.0,2238.0,2237.0,2237.0,2237.0,2237.0,2237.0,2236.0,2235.0,2236.0,2236.0
2020-09-02,0.0,0.0,1297.0,1887.0,2139.0,2541.0,2763.0,2860.0,2962.0,2988.0,2991.0,2990.0,2989.0,2990.0,2990.0,2992.0,2992.0,2993.0,2993.0,2994.0,2992.0,2995.0,2992.0,2991.0,2991.0,2992.0,2992.0,2990.0,2992.0,2994.0,2994.0
2020-09-03,0.0,0.0,895.0,1937.0,2204.0,2514.0,2917.0,3042.0,3083.0,3088.0,3094.0,3096.0,3096.0,3091.0,3095.0,3094.0,3095.0,3095.0,3093.0,3097.0,3095.0,3095.0,3097.0,3094.0,3097.0,3096.0,3096.0,3095.0,3095.0,3095.0,3096.0
2020-09-04,0.0,0.0,0.0,2310.0,2481.0,2563.0,2804.0,2930.0,2973.0,2993.0,3000.0,3028.0,3033.0,3034.0,3033.0,3033.0,3034.0,3034.0,3032.0,3033.0,3033.0,3033.0,3033.0,3032.0,3033.0,3032.0,3032.0,3032.0,3032.0,3035.0,3037.0
2020-09-05,0.0,0.0,1396.0,2203.0,2327.0,2368.0,2424.0,2464.0,2486.0,2501.0,2532.0,2542.0,2543.0,2543.0,2543.0,2544.0,2542.0,2541.0,2540.0,2541.0,2539.0,2539.0,2539.0,2539.0,2539.0,2539.0,2539.0,2539.0,2544.0,2545.0,2545.0
2020-09-06,0.0,121.0,872.0,1877.0,2292.0,2353.0,2412.0,2423.0,2425.0,2433.0,2434.0,2444.0,2444.0,2445.0,2445.0,2445.0,2445.0,2445.0,2445.0,2444.0,2445.0,2445.0,2445.0,2445.0,2446.0,2446.0,2446.0,2444.0,2447.0,2447.0,2447.0
2020-09-07,0.0,0.0,904.0,2203.0,3175.0,3633.0,3773.0,3821.0,3830.0,3833.0,3845.0,3846.0,3846.0,3846.0,3847.0,3855.0,3857.0,3856.0,3857.0,3857.0,3859.0,3859.0,3859.0,3859.0,3860.0,3859.0,3859.0,3862.0,3861.0,3862.0,3861.5
2020-09-08,0.0,0.0,622.0,2047.0,2592.0,2934.0,3215.0,3263.0,3286.0,3294.0,3296.0,3299.0,3300.0,3300.0,3298.0,3299.0,3299.0,3299.0,3299.0,3297.0,3297.0,3297.0,3297.0,3296.0,3296.0,3296.0,3298.0,3298.0,3298.0,3298.0,3298.0
2020-09-09,0.0,94.0,859.0,2115.0,2688.0,3110.0,3269.0,3319.0,3320.0,3324.0,3328.0,3328.0,3328.0,3326.0,3332.0,3331.0,3330.0,3330.0,3330.0,3328.0,3328.0,3327.0,3329.0,3329.0,3329.0,3330.0,3330.0,3330.0,3330.0,3330.0,3330.0
2020-09-10,0.0,0.0,779.0,2403.0,2963.0,3425.0,3559.0,3586.0,3601.0,3600.0,3601.0,3601.0,3597.0,3598.0,3599.0,3596.0,3594.0,3600.0,3599.0,3600.0,3597.0,3597.0,3597.0,3596.0,3602.0,3601.0,3597.0,3598.0,3599.0,3601.0,3598.0
