,gross,net,nowcast_chain,nowcast_chain_0_2
2020-09-30,7068.0,6966.0,6198.356593020488,5023.43173714105
2020-10-01,7516.0,7411.0,13107.959738851492,13855.898775416701
2020-10-02,7083.0,6968.0,15442.766001714317,10718.179283006137
2020-10-03,11972.0,11885.0,6354.449211115595,7289.650050736993
2020-10-04,17491.0,17397.0,7345.520234249266,8655.791973780008
2020-10-05,19279.0,19143.0,17723.441613238912,19737.562832429838
2020-10-06,14642.0,14542.0,19956.045774803653,19627.902586636097
2020-10-07,11828.3781166,11765.3781166,19097.981373587507,16367.739283447201
2020-10-08,19999.6218834,19936.6218834,20399.756242310705,17709.107066915727
2020-10-09,13974.0,13864.0,22007.050696580136,16098.316145208022
2020-10-10,14201.0,13974.0,13749.176119460219,11594.61364845872
2020-10-11,8250.0,8197.0,11522.457047079928,9473.757905326756
2020-10-12,20013.0,19838.0,19417.950053740406,16798.758699364982
2020-10-13,17433.0,17232.0,21395.970819917336,16071.560366880278
2020-10-14,19891.0,19724.0,21931.283521018315,16732.528319101875
2020-10-15,17576.0,17490.0,12423.57120540943,12489.679620000945
2020-10-16,17254.0,17123.0,19170.91852846871,16767.733184792556
2020-10-17,14879.0,14765.0,12534.24360793171,12185.827209432366
2020-10-18,13687.0,13498.0,11215.495502110254,10894.517084713128
2020-10-19,26500.0,-402512.0,19676.503790229097,25925.520414213028
2020-10-20,20815.0,20800.0,26209.505739465625,27503.305472608343
2020-10-21,453755.0,453421.0,26231.412624731,21801.621504438874
2020-10-22,21442.0,21238.0,26325.668404571126,80205.1572528486
2020-10-23,20669.0,20531.0,31040.34744771496,19665.22877775611
2020-10-24,21699.0,21575.0,21482.769180132153,17019.808478553146
2020-10-25,12680.0,12560.0,16120.94291518407,14474.482988598025
2020-10-26,29752.0,29557.0,25358.64677263078,22133.12411792649
2020-10-27,23002.0,22885.0,29901.617089627594,22006.998399758133
2020-10-28,23112.0,22970.0,21483.744845042125,64199.69949778078
2020-10-29,24979.0,24795.0,30549.082566153713,24605.533125545106
2020-10-30,24540.0,24405.0,27280.096772750254,22311.30071529554
2020-10-31,20521.0,20377.0,20349.334658020216,16832.09588291946
2020-11-01,8905.0,8756.0,17564.439125978854,13884.235363466354
2020-11-02,35212.0,34986.0,24803.836907311903,23081.50736001065
2020-11-03,20250.0,20018.0,26731.644393957864,38132.60289073978
2020-11-04,25414.0,25177.0,31012.313206406405,22627.659530741083
2020-11-05,24258.0,24138.0,26385.916194729194,20898.709442903917
2020-11-06,23423.0,23286.0,21718.265021482417,18670.079004552557
2020-11-07,23557.0,23456.0,19794.07204202916,17483.90363027497
2020-11-08,9257.0,9103.0,15672.057321138072,14781.772459241465
2020-11-09,34519.0,34321.0,23690.500855306043,21576.831453065435
2020-11-10,20569.0,20412.0,26496.054218300822,20733.490775533788
2020-11-11,23049.0,22949.0,29967.805324146226,21264.306558848748
2020-11-12,33594.0,33470.0,26109.45940227755,23969.80399287527
2020-11-13,27453.0,27301.0,28032.419038871238,24714.037893633667
2020-11-14,25406.0,25227.0,25486.790743896312,19479.4827988262
2020-11-15,9858.0,9719.0,20470.078706425633,16010.230906889703
2020-11-16,38417.0,38239.0,25681.75626372277,36651.89537777437
2020-11-17,20215.0,20047.0,36306.107086865915,30373.95045173069
2020-11-18,19801.0,19612.0,24694.629861301044,26463.100453878083
2020-11-19,20994.0,20641.0,21805.338995204747,15805.93121373069
2020-11-20,22697.0,22527.0,21543.80239162396,18826.274294284616
2020-11-21,18974.0,18695.0,20070.058909872092,15166.26067248634
2020-11-22,7727.0,7476.0,16320.222879162526,15032.821560563332
2020-11-23,28072.0,27817.0,19621.583181224432,18209.324387244546
2020-11-24,11555.0,11299.0,16172.475204362976,18379.804547395055
2020-11-25,18518.0,18212.0,16733.616845656234,15312.667994500724
2020-11-26,15332.0,15051.0,15610.41216954068,11493.667354908106
2020-11-27,16631.0,15174.0,13148.113450533814,13625.789875957109
2020-11-28,16567.0,16302.0,12959.205911300314,11636.54166984902
2020-11-29,3476.0,3303.0,9968.848256639074,9423.57529805555
2020-11-30,23214.0,22821.0,19526.713567368057,17900.643895500856
2020-12-01,11415.0,11208.0,13551.12791633543,10041.18707829296
2020-12-02,18646.0,18391.0,19643.667291471247,27386.067414509773
2020-12-03,15252.0,14878.0,16019.547121150255,16552.13830599549
2020-12-04,16452.0,16298.0,19871.868208932,16573.297518570216
2020-12-05,14499.0,14162.0,14485.336653516188,11077.330484478502
2020-12-06,5084.0,4859.0,11645.869935698081,9418.426972268988
2020-12-07,28766.0,28507.0,22305.4465628507,20230.64997465944
2020-12-08,12524.0,12280.0,21573.832524406163,17970.58949552809
2020-12-09,16807.0,16577.0,19733.491383772478,13935.451596852272
2020-12-10,21415.0,20964.0,18207.133728280547,15141.049804279799
2020-12-11,22074.0,21672.0,21126.845359491377,16873.366340361485
2020-12-12,19584.0,19075.0,17851.670380705873,14137.91905400265
2020-12-13,6488.0,6071.0,14713.867931727304,11872.401001064149
2020-12-14,22106.0,21880.0,12838.627460563435,15065.060132080034
2020-12-15,30114.0,29945.0,15638.7641039938,18647.08624749825
2020-12-16,27103.0,26853.0,24614.138673489415,25083.872982973557
2020-12-17,35683.0,35383.0,25241.908280336793,27130.602251081313
2020-12-18,28691.0,28507.0,24271.247379915676,25214.471525958837
2020-12-19,25725.0,25543.0,20092.039532570932,19915.373305525514
2020-12-20,24925.0,24716.0,22150.81487392812,18744.44720795049
2020-12-21,46393.0,46085.0,32767.886393961184,32328.991256944177
2020-12-22,37010.0,36803.0,37090.451250512255,39012.68694850787
2020-12-23,39443.0,39237.0,33724.57330004105,38277.59205268826
2020-12-24,37239.0,37021.0,30799.08504351724,27418.541730589168
2020-12-25,18601.0,18435.0,19376.32740617714,19975.734262259994
2020-12-26,10123.0,9938.0,16510.99359665514,16517.947839751356
2020-12-27,9666.0,9483.0,17912.085866614765,12833.772701233333
2020-12-28,2980.0,2710.0,6523.784002844498,13069.565984981211
2020-12-29,156126.0,155727.0,48332.29532407216,165085.57166803716
2020-12-30,50316.0,50023.0,69555.31603886091,116260.40300698395
2020-12-31,56144.0,55892.0,56479.02435751182,75240.71156382129
2021-01-01,49391.0,48901.0,39810.00423854079,48126.35906696969
2021-01-02,34154.0,34002.0,33964.812813669014,38623.81660622884
2021-01-03,18891.0,18755.0,35257.180678714736,30103.676800106718
2021-01-04,6434.0,6227.0,28606.499463145814,28374.79859329962
2021-01-05,177981.0,177812.0,85113.2030584112,128900.85723447081
2021-01-06,62465.0,62317.0,66625.57916782759,87135.01781863048
2021-01-07,52799.0,52620.0,67789.40164308759,64316.04840410634
2021-01-08,68212.0,68055.0,70500.72921542189,66804.31867931875
2021-01-09,55028.0,54852.0,47434.204346178994,50234.19638788291
2021-01-10,27652.0,27475.0,37085.427281968325,46338.63372862357
2021-01-11,75507.0,75265.0,54022.95626244574,55352.415250436134
2021-01-12,42038.0,41665.0,39106.321045136036,39272.192943233895
2021-01-13,55115.0,54846.0,69081.09660989938,67195.90846489686
2021-01-14,49097.0,48683.0,58177.83544347542,59032.96090113844
2021-01-15,56068.0,55762.0,67275.67562024012,54340.72372543387
2021-01-16,36542.0,36185.0,39362.432502150936,36286.14579606309
2021-01-17,12834.0,12312.0,35470.14157454531,28700.053220966864
2021-01-18,69478.0,68977.0,50884.29179526208,48426.71398638856
2021-01-19,33802.0,33357.0,61505.13976328154,45194.41048619825
2021-01-20,39108.0,38903.0,57638.4518885801,40169.68592276863
2021-01-21,38358.0,37890.0,54111.29485044768,36327.448335651614
2021-01-22,35898.0,35582.0,31338.980184870034,27678.193046610028
2021-01-23,33710.0,33254.0,31110.829276435783,27401.71874355315
2021-01-24,7293.0,6866.0,23310.95415553725,21980.00246949811
2021-01-25,47478.0,46952.0,33385.364269595586,24155.13431339707
2021-01-26,23826.0,23449.0,38129.187898166485,32536.744923472954
2021-01-27,25535.0,25309.0,34151.13653838333,27199.68371690014
2021-01-28,28972.0,28680.0,33949.338658441375,26193.240700985487
2021-01-29,29580.0,29077.0,39880.54291729983,29897.863978047037
2021-01-30,19894.0,19651.0,25052.788322099757,18615.43003437075
2021-01-31,4505.0,4270.0,19098.862111920327,15392.84470807593
2021-02-01,39367.0,39051.0,31255.58789543736,24528.172072424502
2021-02-02,12283.0,12052.0,21481.71771456305,19383.14837906626
2021-02-03,24273.0,23987.0,30197.00258792516,20306.68816554374
2021-02-04,20907.0,20633.0,29448.741087800747,19251.753492635467
2021-02-05,16105.0,15902.0,19503.52805903283,13770.466694327259
2021-02-06,18870.0,18511.0,16249.047647880216,13873.539784554998
2021-02-07,19138.0,18811.0,23045.192660685483,18511.597476154522
2021-02-08,14318.0,14101.0,22800.479193984782,17127.956578259276
2021-02-09,12599.0,12366.0,25414.03047674879,15546.029690601032
2021-02-10,11273.0,11002.0,12400.484046903952,13311.84489899576
2021-02-11,15924.0,15506.0,20746.96242815849,15074.703717353212
2021-02-12,13511.0,13180.0,11614.197127115445,12031.697993585769
2021-02-13,15802.0,15269.0,19745.4122400487,14841.42586326992
2021-02-14,11397.0,10972.0,16722.086289554733,13740.820816645204
2021-02-15,10278.0,9765.0,16117.159586472453,11257.759835963998
2021-02-16,7593.0,7029.0,9429.349671570651,8084.054467265708
2021-02-17,16818.0,16315.0,19997.271487435904,12005.65359931684
2021-02-18,12365.0,12056.0,16852.334004333938,10668.048528974929
2021-02-19,12379.0,12028.0,15425.917700493874,10285.890813268557
2021-02-20,8950.0,8683.0,11174.92301125208,8326.621336182157
2021-02-21,10693.0,10127.0,9846.827623778412,8479.291181186489
2021-02-22,12249.0,12070.0,17123.11278191023,10738.688134863685
2021-02-23,6416.0,5848.0,8276.35699748125,7147.892993837837
2021-02-24,11029.0,10774.0,8481.964446087939,7107.4172064219965
2021-02-25,10113.0,9790.0,8117.84726902654,6831.016788191407
2021-02-26,10776.0,10524.0,12081.368660867334,9697.981606269937
2021-02-27,7754.0,7436.0,12491.412300875128,9680.081353229683
2021-02-28,5507.0,5162.0,7613.134190775092,7348.396116212885
2021-03-01,5213.0,4867.0,7641.379402359539,5229.983466379384
2021-03-02,5982.0,5732.0,6775.184517366934,4663.958594530423
2021-03-03,8770.0,8505.0,10700.064088547602,7517.136534951592
2021-03-04,6916.0,6573.0,8920.16808548584,6393.298794129112
2021-03-05,5043.0,4648.0,6033.579098771134,5139.880221335033
