date,areaType,areaCode,areaName,newCasesByPublishDate,newCasesBySpecimenDate
2020-12-22,overview,K02000001,United Kingdom,36804,
2020-12-21,overview,K02000001,United Kingdom,33364,2235.0
2020-12-20,overview,K02000001,United Kingdom,35928,15762.0
2020-12-19,overview,K02000001,United Kingdom,27052,19222.0
2020-12-18,overview,K02000001,United Kingdom,28507,31068.0
2020-12-17,overview,K02000001,United Kingdom,35383,33209.0
2020-12-16,overview,K02000001,United Kingdom,25161,34672.0
2020-12-15,overview,K02000001,United Kingdom,18450,33764.0
2020-12-14,overview,K02000001,United Kingdom,20263,34644.0
2020-12-13,overview,K02000001,United Kingdom,18447,21981.0
2020-12-12,overview,K02000001,United Kingdom,21502,19350.0
2020-12-11,overview,K02000001,United Kingdom,21672,24077.0
2020-12-10,overview,K02000001,United Kingdom,20964,22635.0
2020-12-09,overview,K02000001,United Kingdom,16578,21644.0
2020-12-08,overview,K02000001,United Kingdom,12282,20803.0
2020-12-07,overview,K02000001,United Kingdom,14718,21351.0
2020-12-06,overview,K02000001,United Kingdom,17272,13604.0
2020-12-05,overview,K02000001,United Kingdom,15539,12772.0
2020-12-04,overview,K02000001,United Kingdom,16298,15663.0
2020-12-03,overview,K02000001,United Kingdom,14879,15635.0
2020-12-02,overview,K02000001,United Kingdom,16170,16432.0
2020-12-01,overview,K02000001,United Kingdom,13430,16441.0
2020-11-30,overview,K02000001,United Kingdom,12330,18011.0
2020-11-29,overview,K02000001,United Kingdom,12155,10688.0
2020-11-28,overview,K02000001,United Kingdom,15871,10948.0
2020-11-27,overview,K02000001,United Kingdom,16022,14368.0
2020-11-26,overview,K02000001,United Kingdom,17555,14564.0
2020-11-25,overview,K02000001,United Kingdom,18213,16605.0
2020-11-24,overview,K02000001,United Kingdom,11299,16453.0
2020-11-23,overview,K02000001,United Kingdom,15450,18743.0
2020-11-22,overview,K02000001,United Kingdom,18662,11735.0
2020-11-21,overview,K02000001,United Kingdom,19875,12347.0
2020-11-20,overview,K02000001,United Kingdom,20252,16854.0
2020-11-19,overview,K02000001,United Kingdom,22915,17750.0
2020-11-18,overview,K02000001,United Kingdom,19609,20756.0
2020-11-17,overview,K02000001,United Kingdom,20051,23177.0
2020-11-16,overview,K02000001,United Kingdom,21363,26564.0
2020-11-15,overview,K02000001,United Kingdom,24962,16032.0
2020-11-14,overview,K02000001,United Kingdom,26860,17998.0
2020-11-13,overview,K02000001,United Kingdom,27301,24038.0
2020-11-12,overview,K02000001,United Kingdom,33470,24460.0
2020-11-11,overview,K02000001,United Kingdom,22950,27354.0
2020-11-10,overview,K02000001,United Kingdom,20412,27420.0
2020-11-09,overview,K02000001,United Kingdom,21350,31044.0
2020-11-08,overview,K02000001,United Kingdom,20572,19952.0
2020-11-07,overview,K02000001,United Kingdom,24957,18529.0
2020-11-06,overview,K02000001,United Kingdom,23287,23320.0
2020-11-05,overview,K02000001,United Kingdom,24141,23741.0
2020-11-04,overview,K02000001,United Kingdom,25177,23681.0
2020-11-03,overview,K02000001,United Kingdom,20018,25582.0
2020-11-02,overview,K02000001,United Kingdom,18950,31518.0
2020-11-01,overview,K02000001,United Kingdom,23254,15751.0
2020-10-31,overview,K02000001,United Kingdom,21915,16500.0
2020-10-30,overview,K02000001,United Kingdom,24405,22681.0
2020-10-29,overview,K02000001,United Kingdom,23065,23354.0
2020-10-28,overview,K02000001,United Kingdom,24701,23615.0
2020-10-27,overview,K02000001,United Kingdom,22885,24107.0
2020-10-26,overview,K02000001,United Kingdom,20890,26549.0
2020-10-25,overview,K02000001,United Kingdom,19790,15722.0
