areaCode,areaName,areaType,date,newCasesByPublishDate,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2022-01-24,88447.0,
K02000001,United Kingdom,overview,2022-01-23,78317.0,53326.0
K02000001,United Kingdom,overview,2022-01-22,80263.0,67019.0
K02000001,United Kingdom,overview,2022-01-21,95787.0,77687.0
K02000001,United Kingdom,overview,2022-01-20,107364.0,86466.0
K02000001,United Kingdom,overview,2022-01-19,108069.0,96713.0
K02000001,United Kingdom,overview,2022-01-18,94432.0,102870.0
K02000001,United Kingdom,overview,2022-01-17,84429.0,114277.0
K02000001,United Kingdom,overview,2022-01-16,75041.0,84799.0
K02000001,United Kingdom,overview,2022-01-15,81713.0,68274.0
K02000001,United Kingdom,overview,2022-01-14,99652.0,75555.0
K02000001,United Kingdom,overview,2022-01-13,109133.0,84307.0
K02000001,United Kingdom,overview,2022-01-12,129587.0,90103.0
K02000001,United Kingdom,overview,2022-01-11,120821.0,101189.0
K02000001,United Kingdom,overview,2022-01-10,142224.0,116477.0
K02000001,United Kingdom,overview,2022-01-09,141472.0,83145.0
K02000001,United Kingdom,overview,2022-01-08,146390.0,81968.0
K02000001,United Kingdom,overview,2022-01-07,178250.0,105461.0
K02000001,United Kingdom,overview,2022-01-06,179756.0,150929.0
K02000001,United Kingdom,overview,2022-01-05,194747.0,195409.0
K02000001,United Kingdom,overview,2022-01-04,218724.0,245178.0
K02000001,United Kingdom,overview,2022-01-03,157758.0,204206.0
K02000001,United Kingdom,overview,2022-01-02,151663.0,162353.0
K02000001,United Kingdom,overview,2022-01-01,179637.0,106736.0
K02000001,United Kingdom,overview,2021-12-31,189846.0,170692.0
K02000001,United Kingdom,overview,2021-12-30,189213.0,213473.0
K02000001,United Kingdom,overview,2021-12-29,183037.0,246414.0
K02000001,United Kingdom,overview,2021-12-28,138831.0,192817.0
K02000001,United Kingdom,overview,2021-12-27,109077.0,177695.0
K02000001,United Kingdom,overview,2021-12-26,119923.0,106310.0
K02000001,United Kingdom,overview,2021-12-25,121880.0,64686.0
K02000001,United Kingdom,overview,2021-12-24,122186.0,125150.0
K02000001,United Kingdom,overview,2021-12-23,119789.0,145633.0
